trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
480,248,251,97,6086,120.0,1,1
481,248,251,13,6086,120.0,1,1
482,248,251,162,6086,120.0,1,1
483,248,251,133,6086,120.0,1,1
484,248,251,256,6086,120.0,1,1
485,248,251,101,6086,120.0,1,1
486,248,251,121,6086,120.0,1,1
487,248,251,141,6086,120.0,1,1
488,248,251,165,6086,120.0,1,1
489,248,251,171,6086,120.0,1,1
490,248,251,174,6086,120.0,1,1
491,248,251,231,6086,120.0,1,1
492,248,251,252,6086,120.0,1,1
493,248,251,291,6086,120.0,1,1
494,248,251,283,6086,120.0,1,1
495,248,251,29,6086,120.0,1,1
496,248,251,159,6086,120.0,1,1
497,248,251,36,6086,120.0,1,1
498,248,251,195,6086,120.0,1,1
499,248,251,147,6086,120.0,1,1
500,248,251,119,6086,120.0,1,1
501,248,251,191,6086,120.0,1,1
502,248,251,215,6086,120.0,1,1
503,248,251,109,6086,120.0,1,1
504,248,251,4,6086,120.0,1,1
505,248,251,62,6086,120.0,1,1
506,248,251,229,6086,120.0,1,1
507,248,251,153,6086,120.0,1,1
508,248,251,182,6086,120.0,1,1
509,248,251,223,6086,120.0,1,1
510,248,251,129,6086,120.0,1,1
511,248,251,82,6086,120.0,1,1
512,248,251,204,6086,120.0,1,1
513,248,251,162,6086,120.0,1,1
514,248,251,129,6086,120.0,1,1
515,248,251,159,6086,120.0,1,1
516,248,251,52,6086,120.0,2,2
517,248,251,61,6086,120.0,1,1
518,248,251,78,6086,120.0,1,1
519,248,251,129,6086,120.0,1,1
520,248,251,245,6086,120.0,1,1
521,248,251,176,6086,120.0,1,1
522,248,251,48,6086,120.0,1,1
523,248,251,14,6086,120.0,1,1
524,248,251,203,6086,120.0,1,1
525,248,251,264,6086,120.0,1,1
526,248,251,70,6086,120.0,1,1
527,248,251,148,6086,120.0,1,1
528,248,251,87,6086,120.0,1,1
529,248,251,7,6086,120.0,1,1
530,248,251,102,6086,120.0,1,1
531,248,251,300,6086,120.0,1,1
532,248,251,449,6086,119.0,1,1
