SIGNAL,TIMING,TYPE,CYCLE,OFFSET,PHASES
PHASE,BARRIER,RING,POSITION,MIN_GREEN,MAX_GREEN,EXTENSION,YELLOW,ALL_RED
1,1,1,1,17,17,0,0,0
2,1,1,2,9,9,0,3,1
3,1,1,3,26,26,0,3,1
1207,1,TIMED,60,31,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1209,1,TIMED,60,35,3
1,1,1,1,7,7,0,0,0
2,1,1,2,17,17,0,3,1
3,1,1,3,28,28,0,3,1
1213,1,TIMED,60,39,3
1,1,1,1,9,9,0,0,0
2,1,1,2,10,10,0,3,1
3,1,1,3,33,33,0,3,1
1214,1,TIMED,60,42,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
1216,1,TIMED,60,15,2
1,1,1,1,39,39,0,3,1
2,1,1,2,13,13,0,3,1
1218,1,TIMED,60,49,2
1,1,1,1,47,47,0,3,1
2,1,1,2,5,5,0,3,1
1219,1,TIMED,60,0,3
1,1,1,1,10,10,0,3,1
2,1,1,2,21,21,0,0,0
3,1,1,3,21,21,0,3,1
1244,1,TIMED,60,46,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1248,1,TIMED,60,1,2
1,1,1,1,35,35,0,3,1
2,1,1,2,17,17,0,3,1
1251,1,TIMED,60,13,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
1257,1,TIMED,60,14,2
1,1,1,1,28,28,0,3,1
2,1,1,2,24,24,0,3,1
1259,1,TIMED,60,10,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
1262,1,TIMED,60,31,2
1,1,1,1,28,28,0,3,1
2,1,1,2,24,24,0,3,1
1269,1,TIMED,60,5,2
1,1,1,1,19,19,0,3,1
2,1,1,2,33,33,0,3,1
1277,1,TIMED,60,34,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1281,1,TIMED,60,35,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
1289,1,TIMED,60,40,2
1,1,1,1,28,28,0,3,1
2,1,1,2,24,24,0,3,1
1292,1,TIMED,60,5,2
1,1,1,1,28,28,0,3,1
2,1,1,2,24,24,0,3,1
1298,1,TIMED,60,53,3
1,1,1,1,10,10,0,3,1
2,1,1,2,21,21,0,0,0
3,1,1,3,21,21,0,3,1
1316,1,TIMED,60,24,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
1317,1,TIMED,60,41,2
1,1,1,1,42,42,0,3,1
2,1,1,2,10,10,0,3,1
