PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
364,476,1,634.2,LOT,0,
365,476,0,951.3,LOT,0,
366,476,1,317.1,LOT,0,
367,478,0,161.0,LOT,0,
368,478,1,161.0,LOT,0,
369,479,0,269.3,LOT,0,
370,479,1,807.8,LOT,0,
371,479,0,538.5,LOT,0,
372,479,1,538.6,LOT,0,
373,479,0,807.8,LOT,0,
374,479,1,269.3,LOT,0,
375,480,0,160.8,LOT,0,
376,480,1,160.8,LOT,0,
377,481,0,213.1,LOT,0,
378,481,1,213.2,LOT,0,
379,482,0,161.0,LOT,0,
380,482,1,161.1,LOT,0,
381,483,0,161.0,LOT,0,
382,483,1,161.1,LOT,0,
383,484,0,161.0,LOT,0,
384,484,1,161.1,LOT,0,
385,485,0,220.7,LOT,0,
386,485,1,220.7,LOT,0,
387,486,0,161.0,LOT,0,
388,486,1,161.0,LOT,0,
389,490,0,212.8,LOT,0,
390,490,1,212.8,LOT,0,
391,491,0,161.0,LOT,0,
392,491,1,161.0,LOT,0,
393,492,0,161.0,LOT,0,
394,492,1,161.1,LOT,0,
395,493,0,161.0,LOT,0,
396,493,1,161.0,LOT,0,
397,494,0,161.0,LOT,0,
398,494,1,161.0,LOT,0,
399,495,0,161.0,LOT,0,
400,495,1,161.0,LOT,0,
401,496,0,216.7,LOT,0,
402,496,1,216.7,LOT,0,
403,497,0,217.2,LOT,0,
404,497,1,217.3,LOT,0,
405,499,0,292.4,LOT,0,
406,499,1,877.4,LOT,0,
407,499,0,584.9,LOT,0,
408,499,1,584.9,LOT,0,
409,499,0,877.3,LOT,0,
410,499,1,292.5,LOT,0,
411,500,0,451.8,LOT,0,
412,500,1,1355.5,LOT,0,
413,500,0,903.6,LOT,0,
414,500,1,903.7,LOT,0,
415,500,0,1355.5,LOT,0,
416,500,1,451.8,LOT,0,
417,502,0,160.9,LOT,0,
418,502,1,161.0,LOT,0,
419,505,0,160.9,LOT,0,
420,505,1,161.0,LOT,0,
421,506,0,169.9,LOT,0,
422,506,1,169.9,LOT,0,
423,508,0,151.9,LOT,0,
424,508,1,152.0,LOT,0,
425,509,0,175.7,LOT,0,
426,509,1,175.8,LOT,0,
427,510,0,269.0,LOT,0,
428,510,1,807.2,LOT,0,
429,510,0,538.1,LOT,0,
430,510,1,538.1,LOT,0,
431,510,0,807.1,LOT,0,
432,510,1,269.1,LOT,0,
433,513,0,194.8,LOT,0,
434,513,1,194.9,LOT,0,
