LINK,DIR,TYPE,LANES,LENGTH,OFFSET
2727,1,LEFT_TURN,1,100.0,0.0
2728,1,LEFT_TURN,1,100.0,0.0
2729,0,LEFT_TURN,1,100.0,0.0
2730,1,LEFT_TURN,1,100.0,0.0
2731,0,LEFT_TURN,1,100.0,0.0
2731,1,LEFT_TURN,1,100.0,0.0
2733,0,LEFT_TURN,1,100.0,0.0
2733,1,LEFT_TURN,1,100.0,0.0
2734,1,LEFT_TURN,1,100.0,0.0
2735,0,LEFT_TURN,1,100.0,0.0
2737,0,LEFT_TURN,1,100.0,0.0
2742,0,LEFT_TURN,1,100.0,0.0
2743,0,LEFT_TURN,1,100.0,0.0
2745,0,LEFT_TURN,1,100.0,0.0
2745,1,LEFT_TURN,1,100.0,0.0
2748,0,LEFT_TURN,1,100.0,0.0
2751,1,LEFT_TURN,1,100.0,0.0
2752,0,LEFT_TURN,1,100.0,0.0
2752,1,LEFT_TURN,1,100.0,0.0
2753,0,LEFT_TURN,1,100.0,0.0
2754,1,LEFT_TURN,1,100.0,0.0
2755,0,LEFT_TURN,1,100.0,0.0
2755,1,LEFT_TURN,1,100.0,0.0
2756,0,LEFT_TURN,1,100.0,0.0
2756,1,LEFT_TURN,1,100.0,0.0
2757,0,LEFT_TURN,1,100.0,0.0
2758,0,LEFT_TURN,1,100.0,0.0
2759,0,LEFT_TURN,1,100.0,0.0
2760,0,LEFT_TURN,1,100.0,0.0
2765,0,LEFT_TURN,1,100.0,0.0
2765,1,LEFT_TURN,1,100.0,0.0
2766,0,LEFT_TURN,1,100.0,0.0
2766,1,LEFT_TURN,1,100.0,0.0
2767,0,LEFT_TURN,1,100.0,0.0
2769,0,LEFT_TURN,1,300.0,0.0
